time,biomass,lactic acid,lactose
269.0,0.0441,40.0046,0.0225
270.0,0.0441,39.9905,0.0225
271.0,0.0441,39.9764,0.0225
272.0,0.0441,39.9623,0.0225
273.0,0.0442,39.9483,0.0225
274.0,0.0442,39.9342,0.0225
275.0,0.0442,39.9201,0.0225
276.0,0.0442,39.9061,0.0225
277.0,0.0442,39.8921,0.0225
278.0,0.0442,39.8780,0.0225
279.0,0.0443,39.8640,0.0225
280.0,0.0443,39.8500,0.0225
281.0,0.0443,39.8360,0.0225
282.0,0.0443,39.8219,0.0225
283.0,0.0443,39.8080,0.0225
284.0,0.0443,39.7940,0.0225
285.0,0.0443,39.7800,0.0225
286.0,0.0444,39.7660,0.0225
287.0,0.0444,39.7520,0.0225
288.0,0.0444,39.7381,0.0225
289.0,0.0444,39.7241,0.0225
290.0,0.0444,39.7102,0.0225
291.0,0.0444,39.6962,0.0225
292.0,0.0445,39.6823,0.0225
293.0,0.0445,39.6684,0.0225
294.0,0.0445,39.6544,0.0225
295.0,0.0445,39.6405,0.0224
296.0,0.0445,39.6266,0.0224
297.0,0.0445,39.6127,0.0224
298.0,0.0446,39.5989,0.0224
299.0,0.0446,39.5850,0.0224
300.0,0.0446,39.5711,0.0224
301.0,0.0446,39.5572,0.0224
302.0,0.0446,39.5434,0.0224
303.0,0.0446,39.5295,0.0224
304.0,0.0446,39.5157,0.0224
305.0,0.0447,39.5018,0.0224
306.0,0.0447,39.4880,0.0224
307.0,0.0447,39.4742,0.0224
308.0,0.0447,39.4604,0.0224
309.0,0.0447,39.4466,0.0224
310.0,0.0447,39.4328,0.0224
311.0,0.0448,39.4190,0.0224
312.0,0.0448,39.4052,0.0224
313.0,0.0448,39.3914,0.0224
314.0,0.0448,39.3776,0.0224
315.0,0.0448,39.3639,0.0224
316.0,0.0448,39.3501,0.0224
317.0,0.0448,39.3364,0.0224
318.0,0.0449,39.3226,0.0224
319.0,0.0449,39.3089,0.0224
320.0,0.0449,39.2951,0.0224
321.0,0.0449,39.2814,0.0224
322.0,0.0449,39.2677,0.0224
323.0,0.0449,39.2540,0.0224
324.0,0.0450,39.2403,0.0224
325.0,0.0450,39.2266,0.0224
326.0,0.0450,39.2129,0.0224
327.0,0.0450,39.1992,0.0224
328.0,0.0450,39.1856,0.0223
329.0,0.0450,39.1719,0.0223
330.0,0.0451,39.1583,0.0223
331.0,0.0451,39.1446,0.0223
332.0,0.0451,39.1310,0.0223
333.0,0.0451,39.1173,0.0223
334.0,0.0451,39.1037,0.0223
335.0,0.0451,39.0901,0.0223
336.0,0.0451,39.0765,0.0223
337.0,0.0452,39.0629,0.0223
338.0,0.0452,39.0493,0.0223
339.0,0.0452,39.0357,0.0223
340.0,0.0452,39.0221,0.0223
341.0,0.0452,39.0085,0.0223
342.0,0.0452,38.9949,0.0223
343.0,0.0453,38.9814,0.0223
344.0,0.0453,38.9678,0.0223
345.0,0.0453,38.9543,0.0223
346.0,0.0453,38.9407,0.0223
347.0,0.0453,38.9272,0.0223
348.0,0.0453,38.9137,0.0223
349.0,0.0454,38.9001,0.0223
350.0,0.0454,38.8866,0.0223
351.0,0.0454,38.8731,0.0223
352.0,0.0454,38.8596,0.0223
353.0,0.0454,38.8461,0.0223
354.0,0.0454,38.8326,0.0223
355.0,0.0454,38.8191,0.0223
356.0,0.0455,38.8057,0.0223
357.0,0.0455,38.7922,0.0223
358.0,0.0455,38.7787,0.0223
359.0,0.0455,38.7653,0.0222
360.0,0.0455,38.7519,0.0222
361.0,0.0455,38.7384,0.0222
362.0,0.0456,38.7250,0.0222
363.0,0.0456,38.7116,0.0222
364.0,0.0456,38.6981,0.0222
365.0,0.0456,38.6847,0.0222
366.0,0.0456,38.6713,0.0222
367.0,0.0456,38.6579,0.0222
368.0,0.0457,38.6446,0.0222
369.0,0.0457,38.6312,0.0222
370.0,0.0457,38.6178,0.0222
371.0,0.0457,38.6044,0.0222
372.0,0.0457,38.5911,0.0222
373.0,0.0457,38.5777,0.0222
374.0,0.0457,38.5644,0.0222
375.0,0.0458,38.5510,0.0222
376.0,0.0458,38.5377,0.0222
377.0,0.0458,38.5244,0.0222
378.0,0.0458,38.5110,0.0222
379.0,0.0458,38.4977,0.0222
380.0,0.0458,38.4844,0.0222
381.0,0.0459,38.4711,0.0222
382.0,0.0459,38.4578,0.0222
383.0,0.0459,38.4446,0.0222
384.0,0.0459,38.4313,0.0222
385.0,0.0459,38.4180,0.0222
386.0,0.0459,38.4047,0.0222
387.0,0.0460,38.3915,0.0222
388.0,0.0460,38.3782,0.0221
389.0,0.0460,38.3650,0.0221
390.0,0.0460,38.3518,0.0221
391.0,0.0460,38.3385,0.0221
392.0,0.0460,38.3253,0.0221
393.0,0.0460,38.3121,0.0221
394.0,0.0461,38.2989,0.0221
395.0,0.0461,38.2857,0.0221
396.0,0.0461,38.2725,0.0221
397.0,0.0461,38.2593,0.0221
398.0,0.0461,38.2461,0.0221
399.0,0.0461,38.2329,0.0221
400.0,0.0462,38.2198,0.0221
401.0,0.0462,38.2066,0.0221
402.0,0.0462,38.1935,0.0221
403.0,0.0462,38.1803,0.0221
404.0,0.0462,38.1672,0.0221
405.0,0.0462,38.1540,0.0221
406.0,0.0463,38.1409,0.0221
407.0,0.0463,38.1278,0.0221
408.0,0.0463,38.1147,0.0221
409.0,0.0463,38.1016,0.0221
410.0,0.0463,38.0885,0.0221
411.0,0.0463,38.0754,0.0221
412.0,0.0464,38.0623,0.0221
413.0,0.0464,38.0492,0.0221
414.0,0.0464,38.0361,0.0221
415.0,0.0464,38.0231,0.0220
416.0,0.0464,38.0100,0.0220
417.0,0.0464,37.9970,0.0220
418.0,0.0464,37.9839,0.0220
419.0,0.0465,37.9709,0.0220
420.0,0.0465,37.9578,0.0220
421.0,0.0465,37.9448,0.0220
422.0,0.0465,37.9318,0.0220
423.0,0.0465,37.9188,0.0220
424.0,0.0465,37.9058,0.0220
425.0,0.0466,37.8928,0.0220
426.0,0.0466,37.8798,0.0220
427.0,0.0466,37.8668,0.0220
428.0,0.0466,37.8538,0.0220
429.0,0.0466,37.8409,0.0220
430.0,0.0466,37.8279,0.0220
431.0,0.0467,37.8149,0.0220
432.0,0.0467,37.8020,0.0220
433.0,0.0467,37.7890,0.0220
434.0,0.0467,37.7761,0.0220
435.0,0.0467,37.7632,0.0220
436.0,0.0467,37.7502,0.0220
437.0,0.0468,37.7373,0.0220
438.0,0.0468,37.7244,0.0220
439.0,0.0468,37.7115,0.0220
440.0,0.0468,37.6986,0.0220
441.0,0.0468,37.6857,0.0219
442.0,0.0468,37.6728,0.0219
443.0,0.0468,37.6599,0.0219
444.0,0.0469,37.6471,0.0219
445.0,0.0469,37.6342,0.0219
446.0,0.0469,37.6213,0.0219
447.0,0.0469,37.6085,0.0219
448.0,0.0469,37.5956,0.0219
449.0,0.0469,37.5828,0.0219
450.0,0.0470,37.5700,0.0219
451.0,0.0470,37.5572,0.0219
452.0,0.0470,37.5443,0.0219
453.0,0.0470,37.5315,0.0219
454.0,0.0470,37.5187,0.0219
455.0,0.0470,37.5059,0.0219
456.0,0.0471,37.4931,0.0219
457.0,0.0471,37.4803,0.0219
458.0,0.0471,37.4676,0.0219
459.0,0.0471,37.4548,0.0219
460.0,0.0471,37.4420,0.0219
461.0,0.0471,37.4293,0.0219
462.0,0.0472,37.4165,0.0219
463.0,0.0472,37.4037,0.0219
464.0,0.0472,37.3910,0.0219
465.0,0.0472,37.3783,0.0218
466.0,0.0472,37.3655,0.0218
467.0,0.0472,37.3528,0.0218
468.0,0.0472,37.3401,0.0218
469.0,0.0473,37.3274,0.0218
470.0,0.0473,37.3147,0.0218
471.0,0.0473,37.3020,0.0218
472.0,0.0473,37.2893,0.0218
473.0,0.0473,37.2766,0.0218
474.0,0.0473,37.2640,0.0218
475.0,0.0474,37.2513,0.0218
476.0,0.0474,37.2386,0.0218
477.0,0.0474,37.2260,0.0218
478.0,0.0474,37.2133,0.0218
479.0,0.0474,37.2007,0.0218
480.0,0.0474,37.1880,0.0218
481.0,0.0475,37.1754,0.0218
482.0,0.0475,37.1628,0.0218
483.0,0.0475,37.1502,0.0218
484.0,0.0475,37.1376,0.0218
485.0,0.0475,37.1249,0.0218
486.0,0.0475,37.1124,0.0218
487.0,0.0476,37.0998,0.0218
488.0,0.0476,37.0872,0.0218
489.0,0.0476,37.0746,0.0217
490.0,0.0476,37.0620,0.0217
491.0,0.0476,37.0495,0.0217
492.0,0.0476,37.0369,0.0217
493.0,0.0477,37.0243,0.0217
494.0,0.0477,37.0118,0.0217
495.0,0.0477,36.9993,0.0217
496.0,0.0477,36.9867,0.0217
497.0,0.0477,36.9742,0.0217
498.0,0.0477,36.9617,0.0217
499.0,0.0477,36.9492,0.0217
500.0,0.0478,36.9366,0.0217
501.0,0.0478,36.9241,0.0217
502.0,0.0478,36.9116,0.0217
503.0,0.0478,36.8992,0.0217
504.0,0.0478,36.8867,0.0217
505.0,0.0478,36.8742,0.0217
506.0,0.0479,36.8617,0.0217
507.0,0.0479,36.8493,0.0217
508.0,0.0479,36.8368,0.0217
509.0,0.0479,36.8244,0.0217
510.0,0.0479,36.8119,0.0217
511.0,0.0479,36.7995,0.0216
512.0,0.0480,36.7870,0.0216
513.0,0.0480,36.7746,0.0216
514.0,0.0480,36.7622,0.0216
515.0,0.0480,36.7498,0.0216
516.0,0.0480,36.7374,0.0216
517.0,0.0480,36.7250,0.0216
518.0,0.0481,36.7126,0.0216
519.0,0.0481,36.7002,0.0216
520.0,0.0481,36.6878,0.0216
521.0,0.0481,36.6754,0.0216
522.0,0.0481,36.6631,0.0216
523.0,0.0481,36.6507,0.0216
524.0,0.0482,36.6383,0.0216
525.0,0.0482,36.6260,0.0216
526.0,0.0482,36.6136,0.0216
527.0,0.0482,36.6013,0.0216
528.0,0.0482,36.5890,0.0216
529.0,0.0482,36.5766,0.0216
530.0,0.0483,36.5643,0.0216
531.0,0.0483,36.5520,0.0216
532.0,0.0483,36.5397,0.0216
533.0,0.0483,36.5274,0.0215
534.0,0.0483,36.5151,0.0215
535.0,0.0483,36.5028,0.0215
536.0,0.0484,36.4905,0.0215
537.0,0.0484,36.4783,0.0215
538.0,0.0484,36.4660,0.0215
539.0,0.0484,36.4537,0.0215
540.0,0.0484,36.4415,0.0215
541.0,0.0484,36.4292,0.0215
542.0,0.0484,36.4170,0.0215
543.0,0.0485,36.4047,0.0215
544.0,0.0485,36.3925,0.0215
545.0,0.0485,36.3803,0.0215
546.0,0.0485,36.3681,0.0215
547.0,0.0485,36.3558,0.0215
548.0,0.0485,36.3436,0.0215
549.0,0.0486,36.3314,0.0215
550.0,0.0486,36.3192,0.0215
551.0,0.0486,36.3070,0.0215
552.0,0.0486,36.2949,0.0215
553.0,0.0486,36.2827,0.0214
554.0,0.0486,36.2705,0.0214
555.0,0.0487,36.2583,0.0214
556.0,0.0487,36.2462,0.0214
557.0,0.0487,36.2340,0.0214
558.0,0.0487,36.2219,0.0214
559.0,0.0487,36.2097,0.0214
560.0,0.0487,36.1976,0.0214
561.0,0.0488,36.1855,0.0214
562.0,0.0488,36.1734,0.0214
563.0,0.0488,36.1612,0.0214
564.0,0.0488,36.1491,0.0214
565.0,0.0488,36.1370,0.0214
566.0,0.0488,36.1249,0.0214
567.0,0.0489,36.1128,0.0214
568.0,0.0489,36.1008,0.0214
569.0,0.0489,36.0887,0.0214
570.0,0.0489,36.0766,0.0214
571.0,0.0489,36.0645,0.0214
572.0,0.0489,36.0525,0.0214
573.0,0.0490,36.0404,0.0214
574.0,0.0490,36.0284,0.0213
575.0,0.0490,36.0163,0.0213
576.0,0.0490,36.0043,0.0213
577.0,0.0490,35.9923,0.0213
578.0,0.0490,35.9802,0.0213
579.0,0.0491,35.9682,0.0213
580.0,0.0491,35.9562,0.0213
581.0,0.0491,35.9442,0.0213
582.0,0.0491,35.9322,0.0213
583.0,0.0491,35.9202,0.0213
584.0,0.0491,35.9082,0.0213
585.0,0.0492,35.8962,0.0213
586.0,0.0492,35.8843,0.0213
587.0,0.0492,35.8723,0.0213
588.0,0.0492,35.8603,0.0213
589.0,0.0492,35.8484,0.0213
590.0,0.0492,35.8364,0.0213
591.0,0.0493,35.8245,0.0213
592.0,0.0493,35.8125,0.0213
593.0,0.0493,35.8006,0.0212
594.0,0.0493,35.7887,0.0212
595.0,0.0493,35.7767,0.0212
596.0,0.0493,35.7648,0.0212
597.0,0.0493,35.7529,0.0212
598.0,0.0494,35.7410,0.0212
599.0,0.0494,35.7291,0.0212
600.0,0.0494,35.7172,0.0212
601.0,0.0494,35.7053,0.0212
602.0,0.0494,35.6934,0.0212
603.0,0.0494,35.6816,0.0212
