Time (s),Biomass (g/mL),Lactic Acid (g/mL),Lactose (g/mL)
600.0,0.1013,36.9096,0.0112
601.0,0.1013,36.8974,0.0112
602.0,0.1013,36.8851,0.0111
603.0,0.1014,36.8729,0.0111
604.0,0.1014,36.8606,0.0111
605.0,0.1014,36.8484,0.0111
606.0,0.1015,36.8361,0.0111
607.0,0.1015,36.8239,0.0110
608.0,0.1015,36.8117,0.0110
609.0,0.1016,36.7995,0.0110
610.0,0.1016,36.7873,0.0110
611.0,0.1016,36.7750,0.0109
612.0,0.1017,36.7628,0.0109
613.0,0.1017,36.7507,0.0109
614.0,0.1017,36.7385,0.0109
615.0,0.1018,36.7263,0.0109
616.0,0.1018,36.7141,0.0108
617.0,0.1018,36.7019,0.0108
618.0,0.1019,36.6898,0.0108
619.0,0.1019,36.6776,0.0108
620.0,0.1019,36.6655,0.0108
621.0,0.1020,36.6533,0.0107
622.0,0.1020,36.6412,0.0107
623.0,0.1020,36.6291,0.0107
624.0,0.1021,36.6169,0.0107
625.0,0.1021,36.6048,0.0106
626.0,0.1021,36.5927,0.0106
627.0,0.1022,36.5806,0.0106
628.0,0.1022,36.5685,0.0106
629.0,0.1022,36.5564,0.0106
630.0,0.1023,36.5443,0.0105
631.0,0.1023,36.5322,0.0105
632.0,0.1023,36.5201,0.0105
633.0,0.1024,36.5081,0.0105
634.0,0.1024,36.4960,0.0104
635.0,0.1025,36.4840,0.0104
636.0,0.1025,36.4719,0.0104
637.0,0.1025,36.4599,0.0104
638.0,0.1026,36.4478,0.0104
639.0,0.1026,36.4358,0.0103
640.0,0.1026,36.4237,0.0103
641.0,0.1027,36.4117,0.0103
642.0,0.1027,36.3997,0.0103
643.0,0.1027,36.3877,0.0102
644.0,0.1028,36.3757,0.0102
645.0,0.1028,36.3637,0.0102
646.0,0.1028,36.3517,0.0102
647.0,0.1029,36.3397,0.0102
648.0,0.1029,36.3277,0.0101
649.0,0.1029,36.3157,0.0101
650.0,0.1030,36.3038,0.0101
651.0,0.1030,36.2918,0.0101
652.0,0.1030,36.2799,0.0100
653.0,0.1031,36.2679,0.0100
654.0,0.1031,36.2560,0.0100
655.0,0.1031,36.2440,0.0100
656.0,0.1032,36.2321,0.0099
657.0,0.1032,36.2202,0.0099
658.0,0.1032,36.2082,0.0099
659.0,0.1033,36.1963,0.0099
660.0,0.1033,36.1844,0.0099
661.0,0.1033,36.1725,0.0098
662.0,0.1034,36.1606,0.0098
663.0,0.1034,36.1487,0.0098
664.0,0.1034,36.1368,0.0098
665.0,0.1035,36.1249,0.0097
666.0,0.1035,36.1131,0.0097
667.0,0.1035,36.1012,0.0097
668.0,0.1036,36.0893,0.0097
669.0,0.1036,36.0775,0.0097
670.0,0.1036,36.0656,0.0096
671.0,0.1037,36.0538,0.0096
672.0,0.1037,36.0419,0.0096
673.0,0.1037,36.0301,0.0096
674.0,0.1038,36.0183,0.0095
675.0,0.1038,36.0065,0.0095
676.0,0.1038,35.9946,0.0095
677.0,0.1039,35.9828,0.0095
678.0,0.1039,35.9710,0.0094
679.0,0.1039,35.9592,0.0094
680.0,0.1040,35.9474,0.0094
681.0,0.1040,35.9356,0.0094
682.0,0.1041,35.9239,0.0094
683.0,0.1041,35.9121,0.0093
684.0,0.1041,35.9003,0.0093
685.0,0.1042,35.8886,0.0093
686.0,0.1042,35.8768,0.0093
687.0,0.1042,35.8650,0.0092
688.0,0.1043,35.8533,0.0092
689.0,0.1043,35.8416,0.0092
690.0,0.1043,35.8298,0.0092
691.0,0.1044,35.8181,0.0091
692.0,0.1044,35.8064,0.0091
693.0,0.1044,35.7946,0.0091
694.0,0.1045,35.7829,0.0091
695.0,0.1045,35.7712,0.0091
696.0,0.1045,35.7595,0.0090
697.0,0.1046,35.7478,0.0090
698.0,0.1046,35.7361,0.0090
699.0,0.1046,35.7245,0.0090
700.0,0.1047,35.7128,0.0089
701.0,0.1047,35.7011,0.0089
702.0,0.1047,35.6894,0.0089
703.0,0.1048,35.6778,0.0089
704.0,0.1048,35.6661,0.0088
705.0,0.1048,35.6545,0.0088
706.0,0.1049,35.6428,0.0088
707.0,0.1049,35.6312,0.0088
708.0,0.1049,35.6196,0.0087
709.0,0.1050,35.6079,0.0087
710.0,0.1050,35.5963,0.0087
711.0,0.1050,35.5847,0.0087
712.0,0.1051,35.5731,0.0087
713.0,0.1051,35.5615,0.0086
714.0,0.1051,35.5499,0.0086
715.0,0.1052,35.5383,0.0086
716.0,0.1052,35.5267,0.0086
717.0,0.1053,35.5151,0.0085
718.0,0.1053,35.5036,0.0085
719.0,0.1053,35.4920,0.0085
720.0,0.1054,35.4804,0.0085
721.0,0.1054,35.4689,0.0084
722.0,0.1054,35.4573,0.0084
723.0,0.1055,35.4458,0.0084
724.0,0.1055,35.4342,0.0084
725.0,0.1055,35.4227,0.0083
726.0,0.1056,35.4112,0.0083
727.0,0.1056,35.3997,0.0083
728.0,0.1056,35.3881,0.0083
729.0,0.1057,35.3766,0.0082
