Time (s),Biomass (g/mL),Lactic Acid (g/mL),Lactose (g/mL),Volume (mL),Temperature (K)
2645.0    ,0.8356      ,0.4367         ,250.9382       ,1235.0588 ,301.82    
2646.0    ,0.8360      ,0.4369         ,251.0509       ,1235.3366 ,301.81    
2647.0    ,0.8364      ,0.4371         ,251.1636       ,1235.6144 ,301.81    
2648.0    ,0.8368      ,0.4373         ,251.2763       ,1235.8922 ,301.80    
2649.0    ,0.8371      ,0.4375         ,251.3890       ,1236.1700 ,301.80    
2650.0    ,0.8375      ,0.4377         ,251.5018       ,1236.4478 ,301.79    
2651.0    ,0.8379      ,0.4379         ,251.6146       ,1236.7256 ,301.79    
2652.0    ,0.8383      ,0.4381         ,251.7274       ,1237.0034 ,301.78    
2653.0    ,0.8386      ,0.4383         ,251.8403       ,1237.2812 ,301.78    
2654.0    ,0.8390      ,0.4385         ,251.9531       ,1237.5590 ,301.77    
2655.0    ,0.8394      ,0.4387         ,252.0660       ,1237.8368 ,301.77    
2656.0    ,0.8398      ,0.4389         ,252.1790       ,1238.1146 ,301.76    
2657.0    ,0.8402      ,0.4391         ,252.2919       ,1238.3924 ,301.76    
2658.0    ,0.8405      ,0.4394         ,252.4049       ,1238.6702 ,301.75    
2659.0    ,0.8409      ,0.4396         ,252.5179       ,1238.9480 ,301.75    
2660.0    ,0.8413      ,0.4398         ,252.6309       ,1239.2258 ,301.74    
2661.0    ,0.8417      ,0.4400         ,252.7439       ,1239.5036 ,301.74    
2662.0    ,0.8420      ,0.4402         ,252.8570       ,1239.7814 ,301.73    
2663.0    ,0.8424      ,0.4404         ,252.9701       ,1240.0592 ,301.73    
2664.0    ,0.8428      ,0.4406         ,253.0832       ,1240.3370 ,301.72    
2665.0    ,0.8432      ,0.4408         ,253.1964       ,1240.6148 ,301.72    
2666.0    ,0.8436      ,0.4410         ,253.3095       ,1240.8926 ,301.71    
2667.0    ,0.8439      ,0.4412         ,253.4227       ,1241.1704 ,301.71    
2668.0    ,0.8443      ,0.4414         ,253.5360       ,1241.4482 ,301.70    
2669.0    ,0.8447      ,0.4416         ,253.6492       ,1241.7260 ,301.70    
2670.0    ,0.8451      ,0.4418         ,253.7625       ,1242.0038 ,301.69    
2671.0    ,0.8454      ,0.4420         ,253.8758       ,1242.2816 ,301.69    
2672.0    ,0.8458      ,0.4422         ,253.9891       ,1242.5594 ,301.68    
2673.0    ,0.8462      ,0.4424         ,254.1025       ,1242.8372 ,301.68    
2674.0    ,0.8466      ,0.4426         ,254.2158       ,1243.1150 ,301.67    
2675.0    ,0.8470      ,0.4428         ,254.3292       ,1243.3928 ,301.67    
2676.0    ,0.8473      ,0.4430         ,254.4427       ,1243.6706 ,301.66    
2677.0    ,0.8477      ,0.4432         ,254.5561       ,1243.9484 ,301.66    
2678.0    ,0.8481      ,0.4434         ,254.6696       ,1244.2262 ,301.65    
2679.0    ,0.8485      ,0.4437         ,254.7831       ,1244.5040 ,301.65    
2680.0    ,0.8488      ,0.4439         ,254.8966       ,1244.7818 ,301.64    
2681.0    ,0.8492      ,0.4441         ,255.0102       ,1245.0596 ,301.64    
2682.0    ,0.8496      ,0.4443         ,255.1237       ,1245.3374 ,301.63    
2683.0    ,0.8500      ,0.4445         ,255.2373       ,1245.6152 ,301.63    
2684.0    ,0.8504      ,0.4447         ,255.3510       ,1245.8930 ,301.62    
2685.0    ,0.8507      ,0.4449         ,255.4646       ,1246.1708 ,301.62    
2686.0    ,0.8511      ,0.4451         ,255.5783       ,1246.4486 ,301.61    
2687.0    ,0.8515      ,0.4453         ,255.6920       ,1246.7264 ,301.61    
2688.0    ,0.8519      ,0.4455         ,255.8057       ,1247.0042 ,301.60    
2689.0    ,0.8523      ,0.4457         ,255.9195       ,1247.2820 ,301.60    
2690.0    ,0.8526      ,0.4459         ,256.0333       ,1247.5598 ,301.59    
2691.0    ,0.8530      ,0.4461         ,256.1471       ,1247.8376 ,301.59    
2692.0    ,0.8534      ,0.4463         ,256.2609       ,1248.1154 ,301.58    
2693.0    ,0.8538      ,0.4465         ,256.3748       ,1248.3932 ,301.58    
2694.0    ,0.8542      ,0.4467         ,256.4886       ,1248.6710 ,301.57    
2695.0    ,0.8545      ,0.4469         ,256.6025       ,1248.9488 ,301.57    
2696.0    ,0.8549      ,0.4471         ,256.7165       ,1249.2266 ,301.56    
2697.0    ,0.8553      ,0.4474         ,256.8304       ,1249.5044 ,301.56    
2698.0    ,0.8557      ,0.4476         ,256.9444       ,1249.7822 ,301.56    
2699.0    ,0.8561      ,0.4478         ,257.0584       ,1250.0600 ,301.55    
2700.0    ,0.8564      ,0.4480         ,257.1724       ,1250.3378 ,301.55    
2701.0    ,0.8568      ,0.4482         ,257.2865       ,1250.6156 ,301.54    
2702.0    ,0.8572      ,0.4484         ,257.4006       ,1250.8934 ,301.54    
2703.0    ,0.8576      ,0.4486         ,257.5147       ,1251.1712 ,301.53    
2704.0    ,0.8580      ,0.4488         ,257.6288       ,1251.4490 ,301.53    
2705.0    ,0.8583      ,0.4490         ,257.7430       ,1251.7268 ,301.52    
2706.0    ,0.8587      ,0.4492         ,257.8572       ,1252.0046 ,301.52    
2707.0    ,0.8591      ,0.4494         ,257.9714       ,1252.2824 ,301.51    
2708.0    ,0.8595      ,0.4496         ,258.0856       ,1252.5602 ,301.51    
2709.0    ,0.8599      ,0.4498         ,258.1999       ,1252.8380 ,301.50    
2710.0    ,0.8602      ,0.4500         ,258.3141       ,1253.1158 ,301.50    
2711.0    ,0.8606      ,0.4502         ,258.4285       ,1253.3936 ,301.49    
2712.0    ,0.8610      ,0.4504         ,258.5428       ,1253.6714 ,301.49    
2713.0    ,0.8614      ,0.4507         ,258.6571       ,1253.9492 ,301.48    
2714.0    ,0.8618      ,0.4509         ,258.7715       ,1254.2270 ,301.48    
2715.0    ,0.8622      ,0.4511         ,258.8859       ,1254.5048 ,301.47    
2716.0    ,0.8625      ,0.4513         ,259.0004       ,1254.7826 ,301.47    
2717.0    ,0.8629      ,0.4515         ,259.1148       ,1255.0604 ,301.46    
2718.0    ,0.8633      ,0.4517         ,259.2293       ,1255.3382 ,301.46    
2719.0    ,0.8637      ,0.4519         ,259.3438       ,1255.6160 ,301.45    
2720.0    ,0.8641      ,0.4521         ,259.4584       ,1255.8938 ,301.45    
2721.0    ,0.8644      ,0.4523         ,259.5729       ,1256.1716 ,301.44    
2722.0    ,0.8648      ,0.4525         ,259.6875       ,1256.4494 ,301.44    
2723.0    ,0.8652      ,0.4527         ,259.8021       ,1256.7272 ,301.43    
2724.0    ,0.8656      ,0.4529         ,259.9168       ,1257.0050 ,301.43    
2725.0    ,0.8660      ,0.4531         ,260.0314       ,1257.2828 ,301.42    
2726.0    ,0.8664      ,0.4533         ,260.1461       ,1257.5606 ,301.42    
2727.0    ,0.8667      ,0.4535         ,260.2608       ,1257.8384 ,301.41    
2728.0    ,0.8671      ,0.4538         ,260.3756       ,1258.1162 ,301.41    
2729.0    ,0.8675      ,0.4540         ,260.4903       ,1258.3940 ,301.40    
2730.0    ,0.8679      ,0.4542         ,260.6051       ,1258.6718 ,301.39    
2731.0    ,0.8683      ,0.4544         ,260.7199       ,1258.9496 ,301.39    
2732.0    ,0.8687      ,0.4546         ,260.8348       ,1259.2274 ,301.38    
2733.0    ,0.8690      ,0.4548         ,260.9496       ,1259.5052 ,301.38    
2734.0    ,0.8694      ,0.4550         ,261.0645       ,1259.7830 ,301.37    
2735.0    ,0.8698      ,0.4552         ,261.1794       ,1260.0608 ,301.37    
2736.0    ,0.8702      ,0.4554         ,261.2944       ,1260.3386 ,301.36    
2737.0    ,0.8706      ,0.4556         ,261.4094       ,1260.6164 ,301.36    
2738.0    ,0.8710      ,0.4558         ,261.5243       ,1260.8942 ,301.35    
2739.0    ,0.8713      ,0.4560         ,261.6394       ,1261.1720 ,301.35    
2740.0    ,0.8717      ,0.4562         ,261.7544       ,1261.4498 ,301.34    
2741.0    ,0.8721      ,0.4565         ,261.8695       ,1261.7276 ,301.34    
2742.0    ,0.8725      ,0.4567         ,261.9846       ,1262.0054 ,301.33    
2743.0    ,0.8729      ,0.4569         ,262.0997       ,1262.2832 ,301.33    
2744.0    ,0.8733      ,0.4571         ,262.2148       ,1262.5610 ,301.32    
2745.0    ,0.8736      ,0.4573         ,262.3300       ,1262.8388 ,301.32    
2746.0    ,0.8740      ,0.4575         ,262.4452       ,1263.1166 ,301.31    
2747.0    ,0.8744      ,0.4577         ,262.5604       ,1263.3944 ,301.31    
2748.0    ,0.8748      ,0.4579         ,262.6756       ,1263.6722 ,301.30    
2749.0    ,0.8752      ,0.4581         ,262.7909       ,1263.9500 ,301.30    
2750.0    ,0.8756      ,0.4583         ,262.9062       ,1264.2278 ,301.29    
2751.0    ,0.8760      ,0.4585         ,263.0215       ,1264.5056 ,301.29    
2752.0    ,0.8763      ,0.4587         ,263.1369       ,1264.7834 ,301.28    
2753.0    ,0.8767      ,0.4590         ,263.2522       ,1265.0612 ,301.28    
2754.0    ,0.8771      ,0.4592         ,263.3676       ,1265.3390 ,301.27    
2755.0    ,0.8775      ,0.4594         ,263.4831       ,1265.6168 ,301.27    
2756.0    ,0.8779      ,0.4596         ,263.5985       ,1265.8946 ,301.26    
2757.0    ,0.8783      ,0.4598         ,263.7140       ,1266.1724 ,301.26    
2758.0    ,0.8787      ,0.4600         ,263.8295       ,1266.4502 ,301.25    
2759.0    ,0.8790      ,0.4602         ,263.9450       ,1266.7280 ,301.25    
2760.0    ,0.8794      ,0.4604         ,264.0605       ,1267.0058 ,301.24    
2761.0    ,0.8798      ,0.4606         ,264.1761       ,1267.2836 ,301.24    
2762.0    ,0.8802      ,0.4608         ,264.2917       ,1267.5614 ,301.23    
2763.0    ,0.8806      ,0.4610         ,264.4073       ,1267.8392 ,301.23    
2764.0    ,0.8810      ,0.4612         ,264.5230       ,1268.1170 ,301.22    
2765.0    ,0.8814      ,0.4615         ,264.6386       ,1268.3948 ,301.22    
2766.0    ,0.8817      ,0.4617         ,264.7543       ,1268.6726 ,301.21    
2767.0    ,0.8821      ,0.4619         ,264.8701       ,1268.9504 ,301.21    
2768.0    ,0.8825      ,0.4621         ,264.9858       ,1269.2282 ,301.20    
2769.0    ,0.8829      ,0.4623         ,265.1016       ,1269.5060 ,301.20    
2770.0    ,0.8833      ,0.4625         ,265.2174       ,1269.7838 ,301.19    
2771.0    ,0.8837      ,0.4627         ,265.3332       ,1270.0616 ,301.19    
2772.0    ,0.8841      ,0.4629         ,265.4491       ,1270.3394 ,301.18    
2773.0    ,0.8844      ,0.4631         ,265.5649       ,1270.6172 ,301.18    
2774.0    ,0.8848      ,0.4633         ,265.6808       ,1270.8950 ,301.17    
2775.0    ,0.8852      ,0.4635         ,265.7968       ,1271.1728 ,301.17    
2776.0    ,0.8856      ,0.4638         ,265.9127       ,1271.4506 ,301.16    
2777.0    ,0.8860      ,0.4640         ,266.0287       ,1271.7284 ,301.16    
2778.0    ,0.8864      ,0.4642         ,266.1447       ,1272.0062 ,301.15    
2779.0    ,0.8868      ,0.4644         ,266.2607       ,1272.2840 ,301.15    
2780.0    ,0.8872      ,0.4646         ,266.3768       ,1272.5618 ,301.14    
2781.0    ,0.8875      ,0.4648         ,266.4928       ,1272.8396 ,301.14    
2782.0    ,0.8879      ,0.4650         ,266.6089       ,1273.1174 ,301.13    
2783.0    ,0.8883      ,0.4652         ,266.7251       ,1273.3952 ,301.13    
2784.0    ,0.8887      ,0.4654         ,266.8412       ,1273.6730 ,301.12    
2785.0    ,0.8891      ,0.4656         ,266.9574       ,1273.9508 ,301.12    
2786.0    ,0.8895      ,0.4658         ,267.0736       ,1274.2286 ,301.11    
2787.0    ,0.8899      ,0.4661         ,267.1898       ,1274.5064 ,301.11    
2788.0    ,0.8903      ,0.4663         ,267.3061       ,1274.7842 ,301.10    
2789.0    ,0.8906      ,0.4665         ,267.4224       ,1275.0620 ,301.10    
2790.0    ,0.8910      ,0.4667         ,267.5387       ,1275.3398 ,301.09    
2791.0    ,0.8914      ,0.4669         ,267.6550       ,1275.6176 ,301.09    
2792.0    ,0.8918      ,0.4671         ,267.7714       ,1275.8954 ,301.08    
2793.0    ,0.8922      ,0.4673         ,267.8877       ,1276.1732 ,301.08    
2794.0    ,0.8926      ,0.4675         ,268.0041       ,1276.4510 ,301.07    
2795.0    ,0.8930      ,0.4677         ,268.1206       ,1276.7288 ,301.07    
2796.0    ,0.8934      ,0.4679         ,268.2370       ,1277.0066 ,301.06    
2797.0    ,0.8937      ,0.4682         ,268.3535       ,1277.2844 ,301.05    
2798.0    ,0.8941      ,0.4684         ,268.4700       ,1277.5622 ,301.05    
2799.0    ,0.8945      ,0.4686         ,268.5866       ,1277.8400 ,301.04    
2800.0    ,0.8949      ,0.4688         ,268.7031       ,1278.1178 ,301.04    
2801.0    ,0.8953      ,0.4690         ,268.8197       ,1278.3956 ,301.03    
2802.0    ,0.8957      ,0.4692         ,268.9363       ,1278.6734 ,301.03    
2803.0    ,0.8961      ,0.4694         ,269.0529       ,1278.9512 ,301.02    
2804.0    ,0.8965      ,0.4696         ,269.1696       ,1279.2290 ,301.02    
2805.0    ,0.8969      ,0.4698         ,269.2863       ,1279.5068 ,301.01    
2806.0    ,0.8973      ,0.4701         ,269.4030       ,1279.7846 ,301.01    
2807.0    ,0.8976      ,0.4703         ,269.5197       ,1280.0624 ,301.00    
2808.0    ,0.8980      ,0.4705         ,269.6365       ,1280.3402 ,301.00    
2809.0    ,0.8984      ,0.4707         ,269.7533       ,1280.6180 ,300.99    
2810.0    ,0.8988      ,0.4709         ,269.8701       ,1280.8958 ,300.99    
2811.0    ,0.8992      ,0.4711         ,269.9869       ,1281.1736 ,300.98    
2812.0    ,0.8996      ,0.4713         ,270.1038       ,1281.4514 ,300.98    
2813.0    ,0.9000      ,0.4715         ,270.2206       ,1281.7292 ,300.97    
2814.0    ,0.9004      ,0.4717         ,270.3376       ,1282.0070 ,300.97    
2815.0    ,0.9008      ,0.4719         ,270.4545       ,1282.2848 ,300.96    
2816.0    ,0.9011      ,0.4722         ,270.5715       ,1282.5626 ,300.96    
2817.0    ,0.9015      ,0.4724         ,270.6884       ,1282.8404 ,300.95    
2818.0    ,0.9019      ,0.4726         ,270.8054       ,1283.1182 ,300.95    
2819.0    ,0.9023      ,0.4728         ,270.9225       ,1283.3960 ,300.94    
2820.0    ,0.9027      ,0.4730         ,271.0395       ,1283.6738 ,300.94    
2821.0    ,0.9031      ,0.4732         ,271.1566       ,1283.9516 ,300.93    
2822.0    ,0.9035      ,0.4734         ,271.2737       ,1284.2294 ,300.93    
2823.0    ,0.9039      ,0.4736         ,271.3909       ,1284.5072 ,300.92    
2824.0    ,0.9043      ,0.4738         ,271.5080       ,1284.7850 ,300.92    
2825.0    ,0.9047      ,0.4741         ,271.6252       ,1285.0628 ,300.91    
2826.0    ,0.9051      ,0.4743         ,271.7424       ,1285.3406 ,300.91    
2827.0    ,0.9054      ,0.4745         ,271.8597       ,1285.6184 ,300.90    
2828.0    ,0.9058      ,0.4747         ,271.9770       ,1285.8962 ,300.90    
2829.0    ,0.9062      ,0.4749         ,272.0942       ,1286.1740 ,300.89    
2830.0    ,0.9066      ,0.4751         ,272.2116       ,1286.4518 ,300.89    
2831.0    ,0.9070      ,0.4753         ,272.3289       ,1286.7296 ,300.88    
2832.0    ,0.9074      ,0.4755         ,272.4463       ,1287.0074 ,300.88    
2833.0    ,0.9078      ,0.4758         ,272.5637       ,1287.2852 ,300.87    
2834.0    ,0.9082      ,0.4760         ,272.6811       ,1287.5630 ,300.86    
2835.0    ,0.9086      ,0.4762         ,272.7985       ,1287.8408 ,300.86    
2836.0    ,0.9090      ,0.4764         ,272.9160       ,1288.1186 ,300.85    
2837.0    ,0.9094      ,0.4766         ,273.0335       ,1288.3964 ,300.85    
2838.0    ,0.9098      ,0.4768         ,273.1510       ,1288.6742 ,300.84    
2839.0    ,0.9101      ,0.4770         ,273.2685       ,1288.9520 ,300.84    
2840.0    ,0.9105      ,0.4772         ,273.3861       ,1289.2298 ,300.83    
2841.0    ,0.9109      ,0.4774         ,273.5037       ,1289.5076 ,300.83    
2842.0    ,0.9113      ,0.4777         ,273.6213       ,1289.7854 ,300.82    
2843.0    ,0.9117      ,0.4779         ,273.7389       ,1290.0632 ,300.82    
2844.0    ,0.9121      ,0.4781         ,273.8566       ,1290.3410 ,300.81    
2845.0    ,0.9125      ,0.4783         ,273.9743       ,1290.6188 ,300.81    
2846.0    ,0.9129      ,0.4785         ,274.0920       ,1290.8966 ,300.80    
2847.0    ,0.9133      ,0.4787         ,274.2098       ,1291.1744 ,300.80    
2848.0    ,0.9137      ,0.4789         ,274.3275       ,1291.4522 ,300.79    
2849.0    ,0.9141      ,0.4791         ,274.4453       ,1291.7300 ,300.79    
2850.0    ,0.9145      ,0.4794         ,274.5631       ,1292.0078 ,300.78    
2851.0    ,0.9149      ,0.4796         ,274.6810       ,1292.2856 ,300.78    
2852.0    ,0.9153      ,0.4798         ,274.7989       ,1292.5634 ,300.77    
2853.0    ,0.9156      ,0.4800         ,274.9168       ,1292.8412 ,300.77    
2854.0    ,0.9160      ,0.4802         ,275.0347       ,1293.1190 ,300.76    
2855.0    ,0.9164      ,0.4804         ,275.1526       ,1293.3968 ,300.76    
2856.0    ,0.9168      ,0.4806         ,275.2706       ,1293.6746 ,300.75    
2857.0    ,0.9172      ,0.4808         ,275.3886       ,1293.9524 ,300.75    
2858.0    ,0.9176      ,0.4811         ,275.5066       ,1294.2302 ,300.74    
2859.0    ,0.9180      ,0.4813         ,275.6247       ,1294.5080 ,300.74    
2860.0    ,0.9184      ,0.4815         ,275.7427       ,1294.7858 ,300.73    
2861.0    ,0.9188      ,0.4817         ,275.8608       ,1295.0636 ,300.73    
2862.0    ,0.9192      ,0.4819         ,275.9790       ,1295.3414 ,300.72    
2863.0    ,0.9196      ,0.4821         ,276.0971       ,1295.6192 ,300.71    
2864.0    ,0.9200      ,0.4823         ,276.2153       ,1295.8970 ,300.71    
2865.0    ,0.9204      ,0.4826         ,276.3335       ,1296.1748 ,300.70    
2866.0    ,0.9208      ,0.4828         ,276.4517       ,1296.4526 ,300.70    
2867.0    ,0.9212      ,0.4830         ,276.5699       ,1296.7304 ,300.69    
2868.0    ,0.9216      ,0.4832         ,276.6882       ,1297.0082 ,300.69    
2869.0    ,0.9220      ,0.4834         ,276.8065       ,1297.2860 ,300.68    
2870.0    ,0.9224      ,0.4836         ,276.9248       ,1297.5638 ,300.68    
2871.0    ,0.9227      ,0.4838         ,277.0432       ,1297.8416 ,300.67    
2872.0    ,0.9231      ,0.4840         ,277.1616       ,1298.1194 ,300.67    
2873.0    ,0.9235      ,0.4843         ,277.2800       ,1298.3972 ,300.66    
2874.0    ,0.9239      ,0.4845         ,277.3984       ,1298.6750 ,300.66    
2875.0    ,0.9243      ,0.4847         ,277.5168       ,1298.9528 ,300.65    
2876.0    ,0.9247      ,0.4849         ,277.6353       ,1299.2306 ,300.65    
2877.0    ,0.9251      ,0.4851         ,277.7538       ,1299.5084 ,300.64    
2878.0    ,0.9255      ,0.4853         ,277.8724       ,1299.7862 ,300.64    
2879.0    ,0.9259      ,0.4855         ,277.9909       ,1300.0640 ,300.63    
2880.0    ,0.9263      ,0.4858         ,278.1095       ,1300.3418 ,300.63    
2881.0    ,0.9267      ,0.4860         ,278.2281       ,1300.6196 ,300.62    
2882.0    ,0.9271      ,0.4862         ,278.3467       ,1300.8974 ,300.62    
2883.0    ,0.9275      ,0.4864         ,278.4654       ,1301.1752 ,300.61    
2884.0    ,0.9279      ,0.4866         ,278.5840       ,1301.4530 ,300.61    
2885.0    ,0.9283      ,0.4868         ,278.7027       ,1301.7308 ,300.60    
2886.0    ,0.9287      ,0.4870         ,278.8215       ,1302.0086 ,300.60    
2887.0    ,0.9291      ,0.4873         ,278.9402       ,1302.2864 ,300.59    
2888.0    ,0.9295      ,0.4875         ,279.0590       ,1302.5642 ,300.59    
2889.0    ,0.9299      ,0.4877         ,279.1778       ,1302.8420 ,300.58    
2890.0    ,0.9303      ,0.4879         ,279.2966       ,1303.1198 ,300.57    
2891.0    ,0.9307      ,0.4881         ,279.4155       ,1303.3976 ,300.57    
2892.0    ,0.9311      ,0.4883         ,279.5344       ,1303.6754 ,300.56    
2893.0    ,0.9315      ,0.4885         ,279.6533       ,1303.9532 ,300.56    
2894.0    ,0.9319      ,0.4888         ,279.7722       ,1304.2310 ,300.55    
2895.0    ,0.9322      ,0.4890         ,279.8912       ,1304.5088 ,300.55    
2896.0    ,0.9326      ,0.4892         ,280.0102       ,1304.7866 ,300.54    
2897.0    ,0.9330      ,0.4894         ,280.1292       ,1305.0644 ,300.54    
2898.0    ,0.9334      ,0.4896         ,280.2482       ,1305.3422 ,300.53    
2899.0    ,0.9338      ,0.4898         ,280.3673       ,1305.6200 ,300.53    
2900.0    ,0.9342      ,0.4900         ,280.4863       ,1305.8978 ,300.52    
2901.0    ,0.9346      ,0.4903         ,280.6054       ,1306.1756 ,300.52    
2902.0    ,0.9350      ,0.4905         ,280.7246       ,1306.4534 ,300.51    
2903.0    ,0.9354      ,0.4907         ,280.8437       ,1306.7312 ,300.51    
2904.0    ,0.9358      ,0.4909         ,280.9629       ,1307.0090 ,300.50    
2905.0    ,0.9362      ,0.4911         ,281.0821       ,1307.2868 ,300.50    
2906.0    ,0.9366      ,0.4913         ,281.2014       ,1307.5646 ,300.49    
2907.0    ,0.9370      ,0.4915         ,281.3206       ,1307.8424 ,300.49    
2908.0    ,0.9374      ,0.4918         ,281.4399       ,1308.1202 ,300.48    
2909.0    ,0.9378      ,0.4920         ,281.5592       ,1308.3980 ,300.48    
2910.0    ,0.9382      ,0.4922         ,281.6786       ,1308.6758 ,300.47    
2911.0    ,0.9386      ,0.4924         ,281.7979       ,1308.9536 ,300.47    
2912.0    ,0.9390      ,0.4926         ,281.9173       ,1309.2314 ,300.46    
2913.0    ,0.9394      ,0.4928         ,282.0367       ,1309.5092 ,300.45    
2914.0    ,0.9398      ,0.4930         ,282.1561       ,1309.7870 ,300.45    
2915.0    ,0.9402      ,0.4933         ,282.2756       ,1310.0648 ,300.44    
2916.0    ,0.9406      ,0.4935         ,282.3951       ,1310.3426 ,300.44    
2917.0    ,0.9410      ,0.4937         ,282.5146       ,1310.6204 ,300.43    
2918.0    ,0.9414      ,0.4939         ,282.6341       ,1310.8982 ,300.43    
2919.0    ,0.9418      ,0.4941         ,282.7537       ,1311.1760 ,300.42    
2920.0    ,0.9422      ,0.4943         ,282.8733       ,1311.4538 ,300.42    
2921.0    ,0.9426      ,0.4946         ,282.9929       ,1311.7316 ,300.41    
2922.0    ,0.9430      ,0.4948         ,283.1125       ,1312.0094 ,300.41    
2923.0    ,0.9434      ,0.4950         ,283.2322       ,1312.2872 ,300.40    
2924.0    ,0.9438      ,0.4952         ,283.3519       ,1312.5650 ,300.40    
2925.0    ,0.9442      ,0.4954         ,283.4716       ,1312.8428 ,300.39    
2926.0    ,0.9446      ,0.4956         ,283.5913       ,1313.1206 ,300.39    
2927.0    ,0.9450      ,0.4958         ,283.7111       ,1313.3984 ,300.38    
2928.0    ,0.9454      ,0.4961         ,283.8309       ,1313.6762 ,300.38    
2929.0    ,0.9458      ,0.4963         ,283.9507       ,1313.9540 ,300.37    
2930.0    ,0.9462      ,0.4965         ,284.0706       ,1314.2318 ,300.37    
2931.0    ,0.9466      ,0.4967         ,284.1904       ,1314.5096 ,300.36    
2932.0    ,0.9470      ,0.4969         ,284.3103       ,1314.7874 ,300.36    
2933.0    ,0.9474      ,0.4971         ,284.4302       ,1315.0652 ,300.35    
2934.0    ,0.9478      ,0.4974         ,284.5502       ,1315.3430 ,300.35    
2935.0    ,0.9482      ,0.4976         ,284.6701       ,1315.6208 ,300.34    
2936.0    ,0.9486      ,0.4978         ,284.7901       ,1315.8986 ,300.33    
2937.0    ,0.9490      ,0.4980         ,284.9101       ,1316.1764 ,300.33    
2938.0    ,0.9494      ,0.4982         ,285.0302       ,1316.4542 ,300.32    
2939.0    ,0.9498      ,0.4984         ,285.1503       ,1316.7320 ,300.32    
2940.0    ,0.9502      ,0.4987         ,285.2703       ,1317.0098 ,300.31    
2941.0    ,0.9506      ,0.4989         ,285.3905       ,1317.2876 ,300.31    
2942.0    ,0.9510      ,0.4991         ,285.5106       ,1317.5654 ,300.30    
2943.0    ,0.9514      ,0.4993         ,285.6308       ,1317.8432 ,300.30    
2944.0    ,0.9518      ,0.4995         ,285.7510       ,1318.1210 ,300.29    
2945.0    ,0.9522      ,0.4997         ,285.8712       ,1318.3988 ,300.29    
2946.0    ,0.9526      ,0.5000         ,285.9914       ,1318.6766 ,300.28    
2947.0    ,0.9530      ,0.5002         ,286.1117       ,1318.9544 ,300.28    
2948.0    ,0.9534      ,0.5004         ,286.2320       ,1319.2322 ,300.27    
2949.0    ,0.9538      ,0.5006         ,286.3523       ,1319.5100 ,300.27    
2950.0    ,0.9542      ,0.5008         ,286.4727       ,1319.7878 ,300.26    
2951.0    ,0.9546      ,0.5010         ,286.5930       ,1320.0656 ,300.26    
2952.0    ,0.9550      ,0.5013         ,286.7134       ,1320.3434 ,300.25    
2953.0    ,0.9554      ,0.5015         ,286.8339       ,1320.6212 ,300.25    
2954.0    ,0.9558      ,0.5017         ,286.9543       ,1320.8990 ,300.24    
2955.0    ,0.9562      ,0.5019         ,287.0748       ,1321.1768 ,300.24    
2956.0    ,0.9566      ,0.5021         ,287.1953       ,1321.4546 ,300.23    
2957.0    ,0.9570      ,0.5023         ,287.3158       ,1321.7324 ,300.23    
2958.0    ,0.9574      ,0.5026         ,287.4363       ,1322.0102 ,300.22    
2959.0    ,0.9578      ,0.5028         ,287.5569       ,1322.2880 ,300.21    
2960.0    ,0.9582      ,0.5030         ,287.6775       ,1322.5658 ,300.21    
2961.0    ,0.9586      ,0.5032         ,287.7981       ,1322.8436 ,300.20    
2962.0    ,0.9590      ,0.5034         ,287.9188       ,1323.1214 ,300.20    
2963.0    ,0.9594      ,0.5036         ,288.0395       ,1323.3992 ,300.19    
2964.0    ,0.9598      ,0.5039         ,288.1602       ,1323.6770 ,300.19    
2965.0    ,0.9602      ,0.5041         ,288.2809       ,1323.9548 ,300.18    
2966.0    ,0.9607      ,0.5043         ,288.4016       ,1324.2326 ,300.18    
2967.0    ,0.9611      ,0.5045         ,288.5224       ,1324.5104 ,300.17    
2968.0    ,0.9615      ,0.5047         ,288.6432       ,1324.7882 ,300.17    
2969.0    ,0.9619      ,0.5049         ,288.7640       ,1325.0660 ,300.16    
2970.0    ,0.9623      ,0.5052         ,288.8849       ,1325.3438 ,300.16    
2971.0    ,0.9627      ,0.5054         ,289.0058       ,1325.6216 ,300.15    
2972.0    ,0.9631      ,0.5056         ,289.1267       ,1325.8994 ,300.15    
2973.0    ,0.9635      ,0.5058         ,289.2476       ,1326.1772 ,300.14    
2974.0    ,0.9639      ,0.5060         ,289.3685       ,1326.4550 ,300.14    
2975.0    ,0.9643      ,0.5063         ,289.4895       ,1326.7328 ,300.13    
2976.0    ,0.9647      ,0.5065         ,289.6105       ,1327.0106 ,300.13    
2977.0    ,0.9651      ,0.5067         ,289.7315       ,1327.2884 ,300.12    
2978.0    ,0.9655      ,0.5069         ,289.8526       ,1327.5662 ,300.12    
2979.0    ,0.9659      ,0.5071         ,289.9737       ,1327.8440 ,300.11    
2980.0    ,0.9663      ,0.5073         ,290.0948       ,1328.1218 ,300.10    
2981.0    ,0.9667      ,0.5076         ,290.2159       ,1328.3996 ,300.10    
2982.0    ,0.9671      ,0.5078         ,290.3371       ,1328.6774 ,300.09    
2983.0    ,0.9675      ,0.5080         ,290.4582       ,1328.9552 ,300.09    
2984.0    ,0.9679      ,0.5082         ,290.5794       ,1329.2330 ,300.08    
